Cycle	Predator Population	Prey Population
1	6	8
2	6	7
3	6	6
4	6	6
5	6	7
6	6	9
7	6	9
8	6	9
9	6	9
10	6	9
11	6	9
12	7	10
13	8	10
14	8	11
15	8	11
16	8	11
17	8	12
18	8	13
19	8	12
20	8	13
21	8	13
22	8	14
23	9	13
24	9	12
25	9	10
26	9	10
27	9	10
28	9	10
29	9	11
30	9	13
31	9	13
32	9	15
33	10	14
34	10	15
35	10	15
36	11	14
37	11	15
38	11	16
39	11	17
40	13	15
41	13	16
42	13	17
43	15	15
44	16	13
45	16	14
46	16	14
47	17	12
48	16	12
49	18	11
50	18	10
51	18	12
52	18	9
53	18	8
54	18	8
55	18	9
56	18	8
57	18	8
58	18	8
59	18	8
60	18	7
61	18	7
62	18	4
63	18	3
64	18	1
65	18	1
66	18	0
67	6	8
