step,num_agents,num_predators,num_prey,predators,prey,rewards,cumulative_rewards,terminations,death_causes,predators_ate
107,35,10,25,[],[],{},{},{},{},[]
108,36,10,26,[],[],{},{},{},{},[]
109,37,10,27,[],[],{},{},{},{},[]
110,38,10,28,[],[],{},{},{},{},[]
111,38,10,28,[],[],{},{},{},{},[]
112,38,10,28,[],[],{},{},{},{},[]
113,38,10,28,[],[],{},{},{},{},[]
114,39,10,29,[],[],{},{},{},{},[]
115,41,10,31,[],[],{},{},{},{},[]
116,41,10,31,[],[],{},{},{},{},[]
117,42,10,32,['type_1_predator_0'],[],{},{},{},{},[]
118,42,11,31,['type_1_predator_0'],[],{},{},{},{},[]
119,42,11,31,[],[],{},{},{},{},[]
120,41,10,31,[],[],{},{},{},{},[]
121,43,10,33,[],[],{},{},{},{},[]
122,43,10,33,['type_1_predator_0'],[],{},{},{},{},[]
123,43,10,33,['type_1_predator_4'],[],{},{},{},{},[]
124,43,10,33,[],[],{},{},{},{},[]
125,43,10,33,['type_1_predator_33'],[],{},{},{},{},[]
126,43,10,33,['type_1_predator_2'],[],{},{},{},{},[]
127,41,8,33,[],[],{},{},{},{},[]
128,41,9,32,['type_1_predator_2'],[],{},{},{},{},[]
129,42,10,32,['type_1_predator_0'],[],{},{},{},{},[]
130,43,10,33,[],[],{},{},{},{},[]
131,40,9,31,['type_1_predator_27', 'type_1_predator_3'],[],{},{},{},{},[]
132,39,9,30,['type_1_predator_3'],[],{},{},{},{},[]
133,39,9,30,[],[],{},{},{},{},[]
134,40,9,31,[],[],{},{},{},{},[]
135,41,9,32,[],[],{},{},{},{},[]
136,41,9,32,[],[],{},{},{},{},[]
137,41,10,31,['type_1_predator_31'],[],{},{},{},{},[]
138,41,10,31,[],[],{},{},{},{},[]
139,42,10,32,[],[],{},{},{},{},[]
140,44,10,34,[],[],{},{},{},{},[]
141,44,10,34,[],[],{},{},{},{},[]
142,44,10,34,[],[],{},{},{},{},[]
143,45,10,35,[],[],{},{},{},{},[]
144,44,10,34,['type_1_predator_2'],[],{},{},{},{},[]
145,42,9,33,['type_1_predator_1'],[],{},{},{},{},[]
146,42,9,33,[],[],{},{},{},{},[]
147,42,9,33,['type_1_predator_4'],[],{},{},{},{},[]
148,42,9,33,[],[],{},{},{},{},[]
149,41,9,32,['type_1_predator_31', 'type_1_predator_33'],[],{},{},{},{},[]
150,42,9,33,[],[],{},{},{},{},[]
151,42,9,33,[],[],{},{},{},{},[]
152,42,9,33,[],[],{},{},{},{},[]
153,42,9,33,[],[],{},{},{},{},[]
154,42,9,33,[],[],{},{},{},{},[]
155,42,9,33,[],[],{},{},{},{},[]
156,41,9,32,['type_1_predator_2'],[],{},{},{},{},[]
157,42,9,33,[],[],{},{},{},{},[]
158,42,10,32,['type_1_predator_6'],[],{},{},{},{},[]
159,40,10,30,['type_1_predator_2', 'type_1_predator_5'],[],{},{},{},{},[]
160,39,10,29,['type_1_predator_7'],[],{},{},{},{},[]
161,39,10,29,[],[],{},{},{},{},[]
162,38,10,28,['type_1_predator_6'],[],{},{},{},{},[]
163,38,11,27,['type_1_predator_6'],[],{},{},{},{},[]
164,38,11,27,[],[],{},{},{},{},[]
165,38,12,26,['type_1_predator_2', 'type_1_predator_7'],[],{},{},{},{},[]
166,37,12,25,[],[],{},{},{},{},[]
167,38,12,26,[],[],{},{},{},{},[]
168,38,12,26,[],[],{},{},{},{},[]
169,38,12,26,[],[],{},{},{},{},[]
170,39,12,27,[],[],{},{},{},{},[]
171,40,12,28,[],[],{},{},{},{},[]
172,41,12,29,[],[],{},{},{},{},[]
173,41,12,29,['type_1_predator_2'],[],{},{},{},{},[]
174,43,13,30,['type_1_predator_33'],[],{},{},{},{},[]
175,43,13,30,[],[],{},{},{},{},[]
176,42,13,29,['type_1_predator_3'],[],{},{},{},{},[]
177,43,13,30,['type_1_predator_8'],[],{},{},{},{},[]
178,42,13,29,['type_1_predator_10'],[],{},{},{},{},[]
179,41,13,28,['type_1_predator_4'],[],{},{},{},{},[]
180,40,13,27,['type_1_predator_31'],[],{},{},{},{},[]
181,39,14,25,['type_1_predator_31', 'type_1_predator_8'],[],{},{},{},{},[]
182,39,14,25,[],[],{},{},{},{},[]
183,39,14,25,['type_1_predator_4'],[],{},{},{},{},[]
184,39,14,25,['type_1_predator_6'],[],{},{},{},{},[]
185,38,13,25,['type_1_predator_9'],[],{},{},{},{},[]
186,37,13,24,['type_1_predator_6'],[],{},{},{},{},[]
187,36,13,23,['type_1_predator_1'],[],{},{},{},{},[]
188,37,13,24,[],[],{},{},{},{},[]
189,38,13,25,[],[],{},{},{},{},[]
190,38,13,25,[],[],{},{},{},{},[]
191,39,13,26,[],[],{},{},{},{},[]
192,37,13,24,['type_1_predator_31', 'type_1_predator_9'],[],{},{},{},{},[]
193,37,13,24,[],[],{},{},{},{},[]
194,37,13,24,[],[],{},{},{},{},[]
195,35,13,22,['type_1_predator_7', 'type_1_predator_9'],[],{},{},{},{},[]
196,35,13,22,['type_1_predator_4'],[],{},{},{},{},[]
197,38,13,25,[],[],{},{},{},{},[]
198,37,12,25,[],[],{},{},{},{},[]
199,37,12,25,[],[],{},{},{},{},[]
200,37,12,25,['type_1_predator_11'],[],{},{},{},{},[]
201,36,12,24,['type_1_predator_4'],[],{},{},{},{},[]
202,36,12,24,[],[],{},{},{},{},[]
203,36,12,24,[],[],{},{},{},{},[]
204,36,13,23,['type_1_predator_9'],[],{},{},{},{},[]
205,36,13,23,[],[],{},{},{},{},[]
206,36,13,23,[],[],{},{},{},{},[]
207,37,13,24,[],[],{},{},{},{},[]
208,37,12,25,[],[],{},{},{},{},[]
209,38,12,26,[],[],{},{},{},{},[]
210,36,12,24,['type_1_predator_2', 'type_1_predator_9'],[],{},{},{},{},[]
211,36,12,24,[],[],{},{},{},{},[]
212,37,12,25,[],[],{},{},{},{},[]
213,36,12,24,['type_1_predator_31'],[],{},{},{},{},[]
214,36,12,24,[],[],{},{},{},{},[]
215,36,12,24,[],[],{},{},{},{},[]
216,39,12,27,[],[],{},{},{},{},[]
217,39,13,26,['type_1_predator_4'],[],{},{},{},{},[]
218,40,13,27,[],[],{},{},{},{},[]
219,41,13,28,['type_1_predator_9'],[],{},{},{},{},[]
220,42,14,28,['type_1_predator_4'],[],{},{},{},{},[]
221,44,15,29,['type_1_predator_6'],[],{},{},{},{},[]
222,43,15,28,['type_1_predator_1'],[],{},{},{},{},[]
223,43,15,28,['type_1_predator_12'],[],{},{},{},{},[]
224,43,15,28,['type_1_predator_2'],[],{},{},{},{},[]
225,43,14,29,[],[],{},{},{},{},[]
226,42,16,26,['type_1_predator_31', 'type_1_predator_4', 'type_1_predator_6'],[],{},{},{},{},[]
227,44,16,28,[],[],{},{},{},{},[]
228,43,17,26,['type_1_predator_0', 'type_1_predator_12'],[],{},{},{},{},[]
229,41,17,24,['type_1_predator_12', 'type_1_predator_31'],[],{},{},{},{},[]
230,42,17,25,[],[],{},{},{},{},[]
231,42,18,24,['type_1_predator_12', 'type_1_predator_7'],[],{},{},{},{},[]
232,42,19,23,['type_1_predator_4', 'type_1_predator_6'],[],{},{},{},{},[]
233,42,20,22,['type_1_predator_7'],[],{},{},{},{},[]
234,41,19,22,[],[],{},{},{},{},[]
235,44,19,25,[],[],{},{},{},{},[]
236,44,19,25,[],[],{},{},{},{},[]
237,43,20,23,['type_1_predator_1', 'type_1_predator_14'],[],{},{},{},{},[]
238,42,20,22,['type_1_predator_0'],[],{},{},{},{},[]
239,40,20,20,['type_1_predator_1', 'type_1_predator_3', 'type_1_predator_31'],[],{},{},{},{},[]
240,40,20,20,[],[],{},{},{},{},[]
241,39,20,19,['type_1_predator_7'],[],{},{},{},{},[]
242,38,20,18,['type_1_predator_7'],[],{},{},{},{},[]
243,38,20,18,[],[],{},{},{},{},[]
244,38,21,17,['type_1_predator_7'],[],{},{},{},{},[]
245,37,22,15,['type_1_predator_0', 'type_1_predator_2'],[],{},{},{},{},[]
246,37,22,15,['type_1_predator_5'],[],{},{},{},{},[]
247,38,22,16,[],[],{},{},{},{},[]
248,38,22,16,[],[],{},{},{},{},[]
249,37,22,15,['type_1_predator_7'],[],{},{},{},{},[]
250,36,22,14,['type_1_predator_10'],[],{},{},{},{},[]
251,36,22,14,['type_1_predator_6'],[],{},{},{},{},[]
252,38,22,16,[],[],{},{},{},{},[]
253,37,22,15,['type_1_predator_3'],[],{},{},{},{},[]
254,35,22,13,['type_1_predator_12', 'type_1_predator_8'],[],{},{},{},{},[]
255,35,22,13,[],[],{},{},{},{},[]
256,33,22,11,['type_1_predator_20', 'type_1_predator_6'],[],{},{},{},{},[]
257,33,22,11,[],[],{},{},{},{},[]
